チーム馬場このみ16位	102779 pt
チーム馬場このみ17位	101554 pt
チーム馬場このみ18位	98070 pt
チーム馬場このみ19位	97535 pt
チーム馬場このみ20位	92846 pt
チーム馬場このみ21位	85342 pt
チーム馬場このみ22位	76693 pt
チーム馬場このみ23位	72592 pt
チーム馬場このみ24位	72374 pt
チーム馬場このみ25位	70475 pt
チーム馬場このみ26位	64929 pt
チーム馬場このみ27位	57384 pt
チーム馬場このみ28位	55670 pt
チーム馬場このみ29位	54156 pt
チーム馬場このみ30位	53691 pt
チーム大神環1位	518305 pt
チーム大神環2位	510658 pt
チーム大神環3位	459013 pt
チーム大神環4位	337015 pt
チーム大神環5位	159981 pt
チーム大神環6位	138229 pt
チーム大神環7位	119880 pt
チーム大神環8位	100346 pt
チーム大神環9位	95750 pt
チーム大神環10位	91222 pt
チーム大神環11位	86499 pt
チーム大神環12位	80159 pt
チーム大神環13位	78202 pt
チーム大神環14位	72464 pt
チーム大神環15位	65731 pt
チーム大神環16位	65372 pt
チーム大神環17位	61217 pt
チーム大神環18位	60480 pt
チーム大神環19位	53944 pt
チーム大神環20位	53847 pt
チーム大神環21位	44972 pt
チーム大神環22位	42493 pt
チーム大神環23位	39504 pt
チーム大神環24位	36627 pt
チーム大神環25位	35994 pt
チーム大神環26位	33957 pt
チーム大神環27位	33515 pt
チーム大神環28位	33494 pt
チーム大神環29位	33191 pt
チーム大神環30位	30571 pt
チーム大神環1位	518305 pt
チーム大神環2位	510658 pt
チーム大神環3位	459013 pt
チーム大神環4位	337015 pt
チーム大神環5位	159981 pt
チーム大神環6位	138229 pt
チーム大神環7位	119880 pt
チーム大神環8位	100346 pt
チーム大神環9位	95750 pt
チーム大神環10位	91222 pt
チーム大神環11位	86499 pt
チーム大神環12位	80159 pt
チーム大神環13位	78202 pt
